Time (s),Predicted SVID Combination
27795,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27796,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27797,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27798,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27799,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27800,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27801,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27802,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27803,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27804,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27805,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27806,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27807,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27808,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27809,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27810,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27811,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27812,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27813,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27814,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27815,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27816,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27817,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27818,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27819,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27820,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27821,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27822,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27823,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27824,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27825,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27826,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27827,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27828,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27829,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27830,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27831,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27832,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27833,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27834,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27835,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27836,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27837,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27838,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27839,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27840,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27841,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27842,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27843,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27844,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27845,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27846,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27847,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27848,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27849,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27850,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27851,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27852,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27853,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27854,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27855,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27856,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27857,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27858,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27859,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27860,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27861,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27862,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27863,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27864,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27865,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27866,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27867,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27868,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27869,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27870,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27871,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27872,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27873,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27874,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27875,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27876,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27877,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27878,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27879,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27880,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27881,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27882,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27883,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27884,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27885,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27886,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27887,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27888,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27889,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27890,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27891,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27892,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27893,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27894,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27895,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27896,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27897,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27898,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27899,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27900,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27901,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27902,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27903,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27904,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27905,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27906,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27907,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27908,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27909,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27910,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27911,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27912,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27913,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27914,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27915,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27916,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27917,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27918,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27919,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27920,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27921,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27922,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27923,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27924,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27925,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27926,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27927,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27928,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27929,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27930,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27931,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27932,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27933,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27934,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27935,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27936,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27937,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27938,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27939,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27940,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27941,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27942,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27943,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27944,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27945,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27946,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27947,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27948,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27949,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27950,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27951,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27952,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27953,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27954,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27955,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27956,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27957,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27958,"[4, 8, 9, 16, 18, 22, 26, 27, 31]"
27959,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27960,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27961,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27962,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27963,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27964,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27965,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27966,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27967,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27968,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27969,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27970,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27971,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27972,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27973,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27974,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27975,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27976,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27977,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27978,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27979,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27980,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27981,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27982,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27983,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27984,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27985,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27986,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27987,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27988,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27989,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27990,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27991,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27992,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27993,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27994,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27995,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27996,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27997,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27998,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
27999,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28000,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28001,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28002,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28003,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28004,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28005,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28006,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28007,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28008,"[4, 5, 6, 9, 11, 12, 17, 19, 20]"
28009,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28010,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28011,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28012,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28013,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28014,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28015,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28016,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28017,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28018,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28019,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28020,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28021,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28022,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28023,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28024,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28025,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28026,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28027,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28028,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28029,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28030,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28031,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28032,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28033,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28034,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28035,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28036,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28037,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28038,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28039,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28040,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28041,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28042,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28043,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28044,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28045,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28046,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28047,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28048,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28049,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28050,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28051,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28052,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28053,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28054,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28055,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28056,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28057,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28058,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28059,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28060,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28061,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28062,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28063,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28064,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28065,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28066,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28067,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28068,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28069,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28070,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28071,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28072,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28073,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28074,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28075,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28076,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28077,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28078,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28079,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28080,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28081,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28082,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28083,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28084,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28085,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28086,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28087,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28088,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28089,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28090,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28091,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28092,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28093,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28094,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28095,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28096,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28097,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28098,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28099,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28100,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28101,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28102,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28103,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28104,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28105,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28106,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28107,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28108,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28109,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28110,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28111,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28112,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28113,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28114,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28115,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28116,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28117,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28118,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28119,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28120,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28121,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28122,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28123,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28124,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28125,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28126,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28127,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28128,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28129,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28130,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28131,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28132,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28133,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28134,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28135,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28136,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28137,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28138,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28139,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28140,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28141,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28142,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28143,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28144,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28145,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28146,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28147,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28148,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28149,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28150,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28151,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28152,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28153,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28154,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28155,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28156,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28157,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28158,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28159,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28160,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28161,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28162,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28163,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28164,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28165,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28166,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28167,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28168,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28169,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28170,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28171,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28172,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28173,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28174,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28175,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28176,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28177,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28178,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28179,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28180,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28181,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28182,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28183,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28184,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28185,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28186,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28187,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28188,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28189,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28190,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28191,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28192,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28193,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28194,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28195,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28196,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28197,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28198,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28199,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28200,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28201,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28202,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28203,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28204,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28205,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28206,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28207,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28208,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28209,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28210,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28211,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28212,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28213,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28214,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28215,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28216,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
28217,"[10, 12, 22, 23, 25, 26, 29, 31, 32]"
