Time (s),Predicted SVID Combination
122,"[10, 12, 15, 18, 23, 24, 32]"
123,"[10, 12, 15, 18, 23, 24, 32]"
124,"[10, 12, 15, 18, 23, 24, 32]"
125,"[10, 12, 15, 18, 23, 24, 32]"
126,"[10, 12, 15, 18, 23, 24, 32]"
127,"[10, 12, 15, 18, 23, 24, 32]"
128,"[10, 12, 15, 18, 23, 24, 32]"
129,"[10, 12, 15, 18, 23, 24, 32]"
130,"[10, 12, 15, 18, 23, 24, 32]"
131,"[10, 12, 15, 18, 23, 24, 32]"
132,"[10, 12, 15, 18, 23, 24, 32]"
133,"[10, 12, 15, 18, 23, 24, 32]"
134,"[10, 12, 15, 18, 23, 24, 32]"
135,"[10, 12, 15, 18, 23, 24, 32]"
136,"[10, 12, 15, 18, 23, 24, 32]"
137,"[10, 12, 15, 18, 23, 24, 32]"
138,"[10, 12, 15, 18, 23, 24, 32]"
139,"[10, 12, 15, 18, 23, 24, 32]"
140,"[10, 12, 15, 18, 23, 24, 32]"
141,"[10, 12, 15, 18, 23, 24, 32]"
142,"[10, 12, 15, 18, 23, 24, 32]"
143,"[10, 12, 15, 18, 23, 24, 32]"
144,"[10, 12, 15, 18, 23, 24, 32]"
145,"[10, 12, 15, 18, 23, 24, 32]"
146,"[10, 12, 15, 18, 23, 24, 32]"
147,"[10, 12, 15, 18, 23, 24, 32]"
148,"[10, 12, 15, 18, 23, 24, 32]"
149,"[10, 12, 15, 18, 23, 24, 32]"
150,"[10, 12, 15, 18, 23, 24, 32]"
151,"[10, 12, 15, 18, 23, 24, 32]"
152,"[10, 12, 15, 18, 23, 24, 32]"
153,"[10, 12, 15, 18, 23, 24, 32]"
154,"[10, 12, 15, 18, 23, 24, 32]"
155,"[10, 12, 15, 18, 23, 24, 32]"
156,"[10, 12, 15, 18, 23, 24, 32]"
157,"[10, 12, 15, 18, 23, 24, 32]"
158,"[10, 12, 15, 18, 23, 24, 32]"
159,"[10, 12, 15, 18, 23, 24, 32]"
160,"[10, 12, 15, 18, 23, 24, 32]"
161,"[10, 12, 15, 18, 23, 24, 32]"
162,"[10, 12, 15, 18, 23, 24, 32]"
163,"[10, 12, 15, 18, 23, 24, 32]"
164,"[10, 12, 15, 18, 23, 24, 32]"
165,"[10, 12, 15, 18, 23, 24, 32]"
166,"[10, 12, 15, 18, 23, 24, 32]"
167,"[10, 12, 15, 18, 23, 24, 32]"
168,"[10, 12, 15, 18, 23, 24, 32]"
169,"[10, 12, 15, 18, 23, 24, 32]"
170,"[10, 12, 15, 18, 23, 24, 32]"
171,"[10, 12, 15, 18, 23, 24, 32]"
172,"[10, 12, 15, 18, 23, 24, 32]"
173,"[10, 12, 15, 18, 23, 24, 32]"
174,"[10, 12, 15, 18, 23, 24, 32]"
175,"[10, 12, 15, 18, 23, 24, 32]"
176,"[10, 12, 15, 18, 23, 24, 32]"
177,"[10, 12, 15, 18, 23, 24, 32]"
178,"[10, 12, 15, 18, 23, 24, 32]"
179,"[10, 12, 15, 18, 23, 24, 32]"
180,"[10, 12, 15, 18, 23, 24, 32]"
181,"[10, 12, 15, 18, 23, 24, 32]"
182,"[10, 12, 15, 18, 23, 24, 32]"
183,"[10, 12, 15, 18, 23, 24, 32]"
184,"[10, 12, 15, 18, 23, 24, 32]"
185,"[10, 12, 15, 18, 23, 24, 32]"
186,"[10, 12, 15, 18, 23, 24, 32]"
187,"[10, 12, 15, 18, 23, 24, 32]"
188,"[10, 12, 15, 18, 23, 24, 32]"
189,"[10, 12, 15, 18, 23, 24, 32]"
190,"[10, 12, 15, 18, 23, 24, 32]"
191,"[10, 12, 15, 18, 23, 24, 32]"
192,"[10, 12, 15, 18, 23, 24, 32]"
193,"[10, 12, 15, 18, 23, 24, 32]"
194,"[10, 12, 15, 18, 23, 24, 32]"
195,"[10, 12, 15, 18, 23, 24, 32]"
196,"[10, 12, 15, 18, 23, 24, 32]"
197,"[10, 12, 15, 18, 23, 24, 32]"
198,"[10, 12, 15, 18, 23, 24, 32]"
199,"[10, 12, 15, 18, 23, 24, 32]"
200,"[10, 12, 15, 18, 23, 24, 32]"
201,"[10, 12, 15, 18, 23, 24, 32]"
202,"[10, 12, 15, 18, 23, 24, 32]"
203,"[10, 12, 15, 18, 23, 24, 32]"
204,"[10, 12, 15, 18, 23, 24, 32]"
205,"[10, 12, 15, 18, 23, 24, 32]"
206,"[10, 12, 15, 18, 23, 24, 32]"
207,"[10, 12, 15, 18, 23, 24, 32]"
208,"[10, 12, 15, 18, 23, 24, 32]"
209,"[10, 12, 15, 18, 23, 24, 32]"
210,"[10, 12, 15, 18, 23, 24, 32]"
211,"[10, 12, 15, 18, 23, 24, 32]"
212,"[10, 12, 15, 18, 23, 24, 32]"
213,"[10, 12, 15, 18, 23, 24, 32]"
214,"[10, 12, 15, 18, 23, 24, 32]"
215,"[10, 12, 15, 18, 23, 24, 32]"
216,"[10, 12, 15, 18, 23, 24, 32]"
217,"[10, 12, 15, 18, 23, 24, 32]"
218,"[10, 12, 15, 18, 23, 24, 32]"
219,"[10, 12, 15, 18, 23, 24, 32]"
220,"[10, 12, 15, 18, 23, 24, 32]"
221,"[10, 12, 15, 18, 23, 24, 32]"
222,"[10, 12, 15, 18, 23, 24, 32]"
223,"[10, 12, 15, 18, 23, 24, 32]"
224,"[10, 12, 15, 18, 23, 24, 32]"
225,"[10, 12, 15, 18, 23, 24, 32]"
